url_1,url_2,tfidf_similarity,jaccard_similarity,риск
https://kotofoto.ru/moskva/shop/uid_633326_videokarta_biostar_rx6650xt_8gb_va6656tm81.html,https://kotofoto.ru/moskva/shop/uid_633326_videokarta_biostar_rx6650xt_8gb_va6656tm81.html,100.0%,100.0%,🔴 КАННИБАЛИЗАЦИЯ
https://kotofoto.ru/moskva/shop/uid_585329_umnye_chasy_apple_watch_series_8_45mm_sport_m_l_mnuq3ll_a_starlight.html,https://kotofoto.ru/moskva/shop/uid_619621_umnye_chasy_apple_watch_series_8_45mm_m_l_mp6q3ll_a_silver.html,91.1%,39.3%,🔴 КАННИБАЛИЗАЦИЯ
https://kotofoto.ru/moskva/shop/uid_466881_videokarta_gigabyte_gt_1030_2gb_gv_n1030d4_2gl.html,https://kotofoto.ru/moskva/shop/uid_253228_videokarta_palit_gt1030_2gd4_nec103000646_1082f.html,76.5%,40.3%,🟡 ОЧЕНЬ ПОХОЖИ
https://kotofoto.ru/moskva/shop/uid_717799_videokarta_gigabyte_rtx5060ti_windforce_max_oc_16gb_gddr7_128bit_gv_n506twf2max_oc_16gd.html,https://kotofoto.ru/moskva/shop/uid_717800_videokarta_gigabyte_rtx5060ti_windforce_max_oc_8gb_gddr7_128bit_gv_n506twf2max_oc_8gd.html,75.0%,26.8%,🟡 ОЧЕНЬ ПОХОЖИ
https://kotofoto.ru/moskva/shop/uid_633450_videokarta_asrock_radeon_rx_7600_challenger_8g_oc_rx7600_cl_8go.html,https://kotofoto.ru/moskva/shop/uid_638452_videokarta_asrock_radeon_rx_7600_steel_legend_8g_rx7600_sl_8go.html,72.1%,28.6%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_582997_videokarta_nvidia_pcie16_t1000_8gb_gddr6_blk_900_5g172_2270_000.html,https://kotofoto.ru/moskva/shop/uid_571566_videokarta_nvidia_t1000_4gb_gddr6_900_5g172_2250_000.html,71.6%,37.0%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_582986_videokarta_nvidia_pcie16_rtx_a4000_16gb_box_900_5g190_2500_000.html,https://kotofoto.ru/moskva/shop/uid_582986_videokarta_nvidia_pcie16_rtx_a4000_16gb_box_900_5g190_2500_000.html,71.3%,23.2%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_633234_videokarta_matrox_mura_mpx42hf_2gb1.html,https://kotofoto.ru/moskva/shop/uid_633235_videokarta_matrox_mura_mpx40hf_2gb1.html,69.7%,33.2%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_717788_videokarta_gigabyte_rtx5060_oc_low_profile_8gb_gddr7_128bit_gv_n5060oc_8gl.html,https://kotofoto.ru/moskva/shop/uid_717850_videokarta_zotac_rtx5060_low_profile_8gb_gddr7_zt_b50600l_10l.html,69.6%,36.6%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_701522_smartfon_samsung_galaxy_a36_5g_8_128gb_sm_a366ezadcau_grey.html,https://kotofoto.ru/moskva/shop/uid_701555_smartfon_samsung_galaxy_a56_5g_8_128gb_sm_a566ezkacau_graphite.html,69.5%,24.4%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_210992_detskie_umnye_chasy_smart_baby_watch_q50_zelenye.html,https://kotofoto.ru/moskva/shop/uid_625490_detskie_umnye_chasy_aimoto_trend_black.html,69.3%,24.1%,🟢 НОРМА
